,isbn,title,writer,category,field
0,9788934945727,모모,미하엘 엔데,어린이,초등 전학년
1,9788949190020,모모,미하엘 엔데,어린이,동화/명작/고전
2,9788931466980,모모부띠끄의 사계절 강아지 옷 만들기,서성림,건강/취미,공예
3,9791198240880,모모와 다큰 왕자 - 나를 알고 타인을 이해하는 7인 7색 관계 심리학,엄혜선,자기계발,인간관계
4,9788927052241,야타모모 2 - 뉴 루비코믹스 2064,하라다,만화,순정만화
5,9788943312848,모모와 토토,김슬기,유아,그림책
6,9788960989962,"수영복 입은 강아지, 모모",검은빵,어린이,동화/명작/고전
7,9791167691569,츠구모모 24,하마다 요시카즈,만화,본격장르만화
8,9791141100827,모모 환생전기 22,사콘도 에리,만화,본격장르만화
9,9791167691576,츠구모모 25,하마다 요시카즈,만화,본격장르만화
10,9788927040118,야타모모 - 뉴 루비코믹스 1777,하라다,만화,순정만화
11,9788949703404,모모,미하엘 엔데,소설/시/희곡,독일소설
12,9788943314873,모모와 토토 하트하트 - 2023 북스타트 선정도서,김슬기,유아,그림책
13,K562938776,[세트] 모모 (그림책 + 소설) - 전2권,미하엘 엔데,어린이,동화/명작/고전
14,9791195791606,모두가 모두에게 배우는 P.E.A.C.E. 페다고지 평화교육,이대훈,사회과학,교육학
15,9791186900437,혹등고래 모모의 여행,류커샹,소설/시/희곡,세계의 소설
16,9788960522626,츠구모모 1,하마다 요시카즈,만화,본격장르만화
17,9788960522633,츠구모모 2,하마다 요시카즈,만화,본격장르만화
18,9791196255039,"평화교육, 새롭게 만나기 - 진행자를 위한 핸드북",,사회과학,교육학
19,9791164137374,기묘한 모모 한약방 1 - 필요하니? 퇴마봉충산,히로시마 레이코,어린이,동화/명작/고전
20,9791190866040,츠구모모 22,하마다 요시카즈,만화,본격장르만화
21,9791190866057,츠구모모 23,하마다 요시카즈,만화,본격장르만화
22,9791160858532,츠구모모 21,하마다 요시카즈,만화,본격장르만화
23,9791160852080,츠구모모 19,하마다 요시카즈,만화,본격장르만화
24,9791141121402,모모의 의술사 1,나오모토 산바,만화,본격장르만화
25,9791160851120,츠구모모 18,하마다 요시카즈,만화,본격장르만화
26,9791160852073,츠구모모 18.5,하마다 요시카즈,만화,본격장르만화
27,9788960526624,츠구모모 16,하마다 요시카즈,만화,본격장르만화
28,9791196626303,"궁금해요, 모모쌤의 독서테라피",엄혜선,인문학,책읽기/글쓰기
29,9788960526617,츠구모모 15,하마다 요시카즈,만화,본격장르만화
30,9788960522930,츠구모모 4,하마다 요시카즈,만화,본격장르만화
31,9788960523371,츠구모모 7,하마다 요시카즈,만화,본격장르만화
32,9788960525573,츠구모모 14,하마다 요시카즈,만화,본격장르만화
33,9791160851113,츠구모모 17,하마다 요시카즈,만화,본격장르만화
34,9788960523944,츠구모모 9,하마다 요시카즈,만화,본격장르만화
35,9791160858525,츠구모모 20,하마다 요시카즈,만화,본격장르만화
36,9788960524538,츠구모모 12,하마다 요시카즈,만화,본격장르만화
37,9788960523388,츠구모모 8,하마다 요시카즈,만화,본격장르만화
38,9791191886108,모모모모모 - 2021 볼로냐 라가치상 수상작,밤코,유아,그림책
39,9788960524521,츠구모모 11,하마다 요시카즈,만화,본격장르만화
40,9791169791526,원피스 104 - 와노쿠니 쇼군 코즈키 모모노스케,오다 에이치로,만화,본격장르만화
41,9788960525566,츠구모모 13,하마다 요시카즈,만화,본격장르만화
42,9788927052258,야타모모 3 - 뉴 루비코믹스 2065,하라다,만화,순정만화
43,9788960522923,츠구모모 3,하마다 요시카즈,만화,본격장르만화
44,9788990611871,모모의 동전,위리충,유아,4~7세
45,9788960522947,츠구모모 5,하마다 요시카즈,만화,본격장르만화
46,9788960523951,츠구모모 10,하마다 요시카즈,만화,본격장르만화
47,9788960522954,츠구모모 6,하마다 요시카즈,만화,본격장르만화
48,9791169092050,비정성시 각본집,"주톈원, 우녠전",예술/대중문화,영화/드라마
